Date,Open,High,Low,Close,Adj Close,Volume,variacao,var_dia,day_name,month_name,dia,mes,ano
2021-07-21,125404.0,126112.0,125247.0,125929.0,125929.0,7148900.0,525.0,positiva,Wednesday,July,21,7,2021
2021-07-22,125930.0,126428.0,125416.0,126147.0,126147.0,6480400.0,217.0,positiva,Thursday,July,22,7,2021
2021-07-23,126140.0,126204.0,124422.0,125053.0,125053.0,6051800.0,-1087.0,negativa,Friday,July,23,7,2021
2021-07-26,125058.0,126214.0,125006.0,126004.0,126004.0,6325500.0,946.0,positiva,Monday,July,26,7,2021
2021-07-27,126004.0,126026.0,123670.0,124612.0,124612.0,7313800.0,-1392.0,negativa,Tuesday,July,27,7,2021
2021-07-28,124615.0,126712.0,124542.0,126286.0,126286.0,9038200.0,1671.0,positiva,Wednesday,July,28,7,2021
2021-07-29,126285.0,126476.0,124917.0,125675.0,125675.0,7488400.0,-610.0,negativa,Thursday,July,29,7,2021
2021-07-30,125672.0,125673.0,121748.0,121801.0,121801.0,9399200.0,-3871.0,negativa,Friday,July,30,7,2021
2021-08-02,121803.0,124536.0,121797.0,122516.0,122516.0,8565400.0,713.0,positiva,Monday,August,2,8,2021
2021-08-03,122516.0,123765.0,120807.0,123577.0,123577.0,9391300.0,1061.0,positiva,Tuesday,August,3,8,2021
2021-08-04,123577.0,123587.0,121072.0,121801.0,121801.0,9164200.0,-1776.0,negativa,Wednesday,August,4,8,2021
2021-08-05,121801.0,123541.0,121128.0,121633.0,121633.0,10913000.0,-168.0,negativa,Thursday,August,5,8,2021
2021-08-06,121633.0,123287.0,121568.0,122810.0,122810.0,7499200.0,1177.0,positiva,Friday,August,6,8,2021
