nome da ação;codigo da ação
EUCATEX ON;EUCA3
EUCATEX PN;EUCA4
EVEN ON;EVEN3
Excellen;FEXC12
EXCELSIOR PN;BAUH4
EXCELSIOR ON;BAUH3
EZTEC ON;EZTC3
Fazenda Barreiro Santa Fe PNA;FBSF5L
Fazenda Estrela Sa Agrop... PNA;FEST5L
FD DE INV Imobliario Our...;OUFF12
FD iNav IM Ativ re Cotas;TGAR12
FDO INV IMOB FII UBS BR ...;RECT12
FERROVIA CENTRO ATL PN;VSPT4
FERROVIA CENTRO ATL ON;VSPT1
FERROVIA CENTRO ATL ON;VSPT3
FER HERINGER ON;FHER3
Fiacao Algodao Moco Sa F... PNB;FMSA6L
Fibra Cia Securit De Cre...;BCFF12
Fibrasa Nordeste PNA;BRAS5L
FII ABSOLUTO CI;BPFF12
FII Alianzffci;AFOF12
FII BARIGUI CI;BARI12
FII Bluemacaw Logistica;BLMG12
FII Bresco Ci Eg;BRCO12
FII Capi Sec CI Mb;CPTS12B
FII Capi Sec CI Mb;CPTS12
FII CSHG CRI CI;HGCR12
Fii Fator Ve;VRTA12
FII Galapagos;GCFF12
FII HECTARE CI;HCTR12
FII HSI MALLCI;HSML12
FII Kilima;KISU12
FII Kinea Securities;KNSC12
FII LOGCP Inter;LGCP12
FII MAUA CI ER;MCCI12
FII Maxi Ren;MXRF12
FII Mogno;MGCR12
FII Mongno CI;MGFF12
FII More Real Estate FoF;MORE12
FII MULT OF1CI EB;MTOF12
FII POLO CRI CI;PORD12
FII Quata Investimentos;QIFF12
FII R Incomedm Brazil St...;RBCO12
FII RB Capital Desenvolv...;RBFF12
FII RB YEILDCI;RBHY12
FII RBR LOG;RBRL12
FII RBR PROPCI;RBRP12
FII RBRALPHACI;RBRF12
FII RBRHGRADCI;RBRR12
FII Rec Log;RELG12
FII Riza Terrax;RZTR12
FII Sequoia;SEQR12
FII TRX Realty Logistica;BTLG12
FII UBS CI;UBSR16
FII UBS CI;UBSR12
FII Valora CRI Indice de...;VGIP12
FII VBI CRI CI;CVBI12
FII VINCILOGCI EB;VILG12
FII Vinvi SCCI;VISC13
FII XP Credito;XPCI12
FII XP HOT CI;XPHT14
FII XP INDL CI ER;XPIN12
FII XP Prop Ci;XPPR12
ALFA FINANC ON;CRIV3
ALFA FINANC PN;CRIV4
FIP Vinci IECI;VIGT12
FLEURY ON;FLRY3
Flex Gestao De Relaciona... ON;FLEX3
Fly Acai PNA PNA;FLYC5L
Focus Energia Holding Pa... ON;POWE3
Focus Energia Holding Pa...;FOCUS/ON
FORJA TAURUS ON;FJTA3
FORJA TAURUS PN;FJTA4
Frango Norte PNA PNA;FNAG5L
FRAS-LE ON;FRAS3
Frutivita PNA;FVIT5L
GAFISA;GFSA11
GAFISA;GFSA12
GAFISA ON;GFSA9
GAFISA ON;GFSA1
GAFISA ON;GFSA3
Gama Participacoes ON;OPGM3B
Gameleira Pna PNA;GPSA5L
Gemasa Pnc PND;GESA8L
Gemasa Pnc PNC;GESA7L
GENERAL SHOP ON;GSHP3
GERDAU ON;GGBR3
GERDAU PN;GGBR4
Getninjas ON;NINJ3
GOL PN;GOLL4
GOL PN;GOLL2
GOL PN;GOLL10
GOL PN;GOLL12
GOL PN;GOLL11
GPS Participacoes e Empr... ON;GGPS3
GRAMAZON PNA MB PNA;GRMZ5L
GRAZZIOTIN PN;CGRA4
GRAZZIOTIN ON;CGRA3
GRENDENE ON;GRND3
Grupo De Moda Soma ON;SOMA3
Grupo Mateus ON;GMAT3
Grupo SBF ON;SBFG3
Grupo Soma S.A;GSOM3
GUARARAPES ON;GUAR3
HAGA PN;HAGA4
HAGA ON;HAGA3
HAPVIDA ON;HAPV3
HBR Realty Empreendiment... ON;HBRE3
HELBOR ON;HBOR3
HERCULES ON;HETA3
HERCULES PN;HETA4
Hidrovias DO Brasil ON;HBSA3
Hospital Mater Dei S.A ON;MATD3
HOSPITALCARE ON;HCAR3
Hoteis Global PNA;HTGL5L
HOTEIS OTHON PN;HOOT4
HOTEIS OTHON ON;HOOT3
Hotel Caicara PN;HCCR4L
Humberg Agribrasil Comer... ON;GRAO3
HYPERA ON;HYPE3
I dividendos;IDIV11
Ibrasil;IBRA11
Iconsumo;ICON11
IDEIASNET ON;IDNT3
IFinanceiro;IFNC11
IGB S/A ON;IGBR1
IGB S/A ON;IGBR3
Igc IGN Nm;IGNM11
IGC Trade;IGCT11
Igua Saneamento ON;IGSN3
IGUATEMI ON;IGTA3
Imat Basicos;IMAT11
Imobiliario;IMOB11
Imperador PNA;IAIC5L
IND FDO IMOB;IFIL11
Ind Fdo Imob IFI;IFIX11
Indice Bovespa;IBOV11
Indice Brasil;IBXX11
Indice Energia Eletrica;IEEX11
Indice Governanca Corpor...;IGCX11
Indice Ibrx 50;IBXL11
Indice Setor Indl;INDX11
Indice Tag Along;ITAG11
Indice Valor Bovespa Seg...;IVBX11
J B DUARTE ON;JBDU3
J B DUARTE PN;JBDU4
INDS ROMI ON;ROMI3
INEPAR ON;INEP3
INEPAR PN;INEP4
Infracommerce Caxaas ON;IFCM3
Inga Agroflorestal PN;INGA4L
Inncorp ON;SLCT3B
IHPARDINI ON;PARD3
Intelbras S.A ON;INTB3
INTER CONSTRUTORA ON;INNT3
INTERMEDICA ON;GNDI3
IMC S/A ON;MEAL3
INVEST BEMGE ON;FIGE3
INVEST BEMGE PN;FIGE4
Invests Participacoes In... PN;IVPR4B
Invests Participacoes In... ON;IVPR3B
IOCHP-MAXION ON;MYPK3
CELULOSE IRANI PN;RANI4
CELULOSE IRANI ON;RANI3
IRB BRASIL ON;IRBR9
IRB BRASIL ON;IRBR1
IRB BRASIL ON;IRBR3
IRB BRASIL ON;IRBR9L
Irrigacao Santo Andre Sa... PNA;IGSA5L
Ise Indice Sustentabilid...;ISEE11
Ishares Carbon Efficient;ICO211
ITAU UNIBANCO ON;ITUB3
ITAU UNIBANCO PN;ITUB4
ITAUSA PN;ITSA4
ITAUSA ON;ITSA3
Jahyr Seixas Goncalves A... PNA;JAHY5L
Jalles Machado ON;JALL3
JBS ON;JBSS3
JEREISSATI ON;JPSA3
JHSF PART ON;JHSF3
JOAO FORTES ON;JFEN3
JOSAPAR PN;JOPA4
JOSAPAR ON;JOPA3
JSL ON;JSLG3
JSL ON;JSLG11
Kallas Incorporacoes e C... ON;KLAS3
KARSTEN PN;CTKA4
KARSTEN ON;CTKA3
KEPLER WEBER ON;KEPL3
KEPLER WEBER;KEPL11
KLABIN PN;KLBN4
KLABIN ON;KLBN3
Lavvi Empreendimentos Im... ON;LAVV3
LG INFORMATICA SA ON;GENT3
LIFEMED ON;LMED3
LIGHT ON;LIGT3
LINX ON;LINX3
LIQ ON;LIQO1
LIQ ON;LIQO3
Litel Participacoes ON;LTEL3B
LITEL PNA;LTEL5B
Litela Participacoes ON;LTLA3B
LOCALIZA ON;RENT3
LOCAWEB ON;LWSA3
LOG Commercial ON;LOGG3
LOG IN ON;LOGN3
Lojas Americanas;LAME9
LOJAS AMERICANAS PN;LAME2
Lojas Americanas;LAME10
LOJAS AMERICANAS PN;LAME4
LOJAS AMERICANAS ON;LAME3
LOJAS AMERICANAS ON;LAME1
LOJAS MARISA ON;AMAR3
Lojas Quero-Quero ON;LJQQ3
LOJAS RENNER ON;LREN3
LOPES BRASIL ON;LPSB3
LUPATECH ON;LUPA3
LUPATECH;LUPA13
LUPATECH ON;LUPA12
LUPATECH ON;LUPA11
M.DIAS BRANCO ON;MDIA3
MAESTRO LOCADORA ON;MSRO3
MAGAZINE LUIZA ON;MGLU3
METAL LEVE ON;LEVE3
Manaus Hoteis Turismo PNA;MNHT5L
MANGELS ON;MGEL3
MANGELS PN;MGEL4
ESTRELA PN;ESTR4
ESTRELA ON;ESTR3
MARCOPOLO PN;POMO4
MARCOPOLO ON;POMO3
MARFRIG ON;MRFG3
Marta Da Chuv PNA;MCHV5L
Maxvinil Pnb PNC;MAXV7L
Maxvinil Pnb PNB;MAXV6L
Meliuz S.A ON;CASH3
Melnick Desenvolvimento ... ON;MELK3
MENDES JR ON;MEND3
MENDES JR PNB;MEND6
MENDES JR PNA;MEND5
MERCANTIL DO BRASIL PN;MERC4
MERCANTIL DO BRASIL ON;MERC3
METALFRIO ON;FRIO3
METAL IGUAÇU ON;MTIG3
METAL IGUAÇU PN;MTIG4
GERDAU MET PN;GOAU4
GERDAU MET ON;GOAU3
RIO SULENSE PN;RSUL4
RIO SULENSE ON;RSUL3
METISA PN;MTSA4
METISA ON;MTSA3
Midlarge Cap;MLCX11
MILLS ON;MILS3
Minasmaquinas ON;MMAQ3
Minasmaquinas PN;MMAQ4
MINERVA ON;BEEF3
MINERVA ON;BEEF11
MINUPAR ON;MNPR3
MINUPAR ON;MNPR3L
Mitre Realty Empreendimentos E Participacoes LTDA;MTRE
MITRE REALTY ON;MTRE3
MMX MINER ON;MMXM3
MMX MINER;MMXM11
Mobly ON;MBLY3
MONT ARANHA ON;MOAR3
MONT ARANHA ON;MOAR3L
Mosaico Tecnologia Ao Co... ON;MOSI3
MOURA DUBEAUX ON;MDNE3
MOVIDA ON;MOVI3
MPM Corporeos ON;ESPA3
Mrs Logistica ON;MRSA3B
Mrs Logistica PNB;MRSA6B
Mrs Logistica PNA;MRSA5B
MRV ON;MRVE3
MULTIPLAN ON;MULT3
MUNDIAL ON;MNDL3
NADIR FIGUEIREDO PN;NAFG4
NADIR FIGUEI ON;NAFG11L
NADIR FIGUEI ON;NAFG3L
NADIR FIGUEI PN;NAFG4L
NADIR FIGUEIREDO ON;NAFG3
NADIR FIGUEI PN;NAFG12L
NATURA ON;NTCO1
NATURA ON;NTCO9
NATURA ON;NTCO9L
NATURA ON;NTCO3
NEOENERGIA ON;NEOE3
Neogrid Participacoes ON;NGRD3
NORDON MET ON;NORD3
Nortec Quimica ON;NRTQ3
NUTRIPLANT ON;NUTR3
Oceanpact Servicos Marit... ON;OPCT3
ODONTOPREV ON;ODPV3
DOMMO ON;DMMO3
DOMMO ON;DMMO11
DOMMO ON;DMMO1
OI PN;OIBR4
OI ON;OIBR3
Olvebasa Pnb PNB;OVBA6L
OMEGA GER ON;OMGE3
Opportunity Energia Part... ON;OPHE3B
Orizon Valorizacao De Re... ON;ORVR3
OSX BRASIL ON;OSXB3
OUROFINO S/A ON;OFSA3
Padtec ON;PDTC
Padtec ON;PDTC3
PANATLANTICA ON;PATI9L
PANATLANTICA PN;PATI4
PANATLANTICA ON;PATI9
PANATLANTICA PN;PATI10L
PANATLANTICA PN;PATI10
PANATLANTICA ON;PATI3
PARANAPANEMA ON;PMAM3
Paulista Praia Hotel PNA;PPHT5L
PORTOBELLO ON;PTBL3
PDG REALT ON;PDGR3
PDG REALT ON;PDGR1
Pedra Grandepna PNA;PDGD5L
Pet Center Comercio E Pa... ON;PETZ3
PETRORIO ON;PRIO3
PETROBRAS BR ON;BRDT3
PETROBRAS;PETR-DEB63L1
PETROBRAS ON;PETR3
PETROBRAS;PETR-DEB630B
PETROBRAS PN;PETR4
PETROBRAS;PETR-DEB63L0
PETROBRAS;PETR-DEB63B0
Petroreconcavo ON;RECV3
PETTENATI PN;PTNT4
PETTENATI ON;PTNT3
Pingu's PNA;PNGU5L
Plano & Plano Desenvolvi... ON;PLPL3
PLASCAR PART ON;PLAS3
PLASCAR PART ON;PLAS11
Polpar ON;PPAR3
POMIFRUTAS ON;FRTA3
PORTO SEGURO ON;PSSA3
PORTO SUDESTE;PSVM11
POSITIVO TEC ON;POSI3
PRATICA PNR M2 PN;PTCA11
PRATICA PNR M2 ON;PTCA3
Prefeitura Municipal Sao...;PMSP12B
Prefeitura Municipal Sao...;PMSP11B
Prefeitura Municipal Sao...;PMSP11BL
CEPAC - PMSP;PMSP12BL
Prefeitura Municipal Sao...;PMSP13B
PRINER ON;PRNR3
Produtores Energeticos M... ON;PRMN3B
PROFARMA ON;PFRM3
Prompt Participacoes ON;PRPT3B
QUALICORP ON;QUAL3
Quality Software ON;QUSW3
RAIA DROGASIL ON;RADL3
RANDON PART ON;RAPT3
RANDON PART PN;RAPT4
RBCAPITALRES;RBRA-CRA14B0
RBCAPITALRES;RBRA-CRIE7B0
RBCAPITALRES;RBRA-CRI80B0
RBCAPITALSEC;RBCS-CRI84B0
RBCAPITALSEC;RBCS-CRI73B0
RBCAPITALSEC;RBCS-CRI2RB0
RBCAPITALSEC;RBCS-CRI2QB0
RBCAPITALSEC;RBCS-CRI86B0
RBCAPITALSEC;RBCS-CRI87B0
RBCAPITALSEC;RBCS-CRI85B0
RBCAPITALSEC;RBCS-CRI2PB0
RBR Private CR;RBRY13
RBR Private CR;RBRY12
RECRUSUL ON;RCSL3
RECRUSUL PN;RCSL4
Rede DOr Sao Luiz ON;RDOR3
REDE ENERGIA ON;REDE3
REDE ENERGIA ON;REDE3L
REDE ENERGIA ON;REDE1
PET MANGUINH ON;RPMG3
RENOVA;RNEW12
RENOVA ON;RNEW1
RENOVA PN;RNEW2
RENOVA ON;RNEW3
RENOVA PN;RNEW4
LE LIS BLANC ON;LLIS3
RIO ALTO ENERG RENOV ON;RIOS3
Rio Cartado PNB;RCTA6L
GER PARANAP PN;GEPA4
GER PARANAP ON;GEPA3
Riopec Pnc PND;RIPC8L
Riopec Pnc PNC;RIPC7L
Riopec Pnc PNB;RIPC6L
RNI ON;RDNI3
Rocha Santos Agroind PNB;RCST6L
Rondistur Hoteis Turismo PNA;ROND5L
ROSSI RESID ON;RSID3
Rumo Malha Norte ON;FRRN3B
Rumo Malha Norte PNB;FRRN6B
Rumo Malha Norte PNA;FRRN5B
